timestamp,git_sha,config_hash,model,dataset,family,corruption,severity,conf_thresh,seed,precision,recall,f1,map50,map50_95,recall_small,recall_medium,recall_large,n_gt,n_gt_small,n_gt_medium,n_gt_large,tp,fp
2026-08-08T09:10:41.260456+00:00,8f3c087,44ab694de883,yolo11,heridal,clean,clean,0,0.45,20260707,0.8547854785478548,0.7685459940652819,0.8093750000000001,0.8029224366273443,0.5096340853668341,0.8,0.7706422018348624,0.6,337,5,327,5,259,44
2026-08-08T09:13:49.177074+00:00,8f3c087,44ab694de883,yolo11,heridal,flood,water_glare,1,0.45,20260707,0.8586206896551725,0.7388724035608308,0.7942583732057416,0.7852081112296255,0.49139164110895145,0.8,0.7400611620795107,0.6,337,5,327,5,249,41
2026-08-08T09:17:07.334423+00:00,8f3c087,44ab694de883,yolo11,heridal,flood,water_glare,2,0.45,20260707,0.8517241379310345,0.7329376854599406,0.7878787878787878,0.7805203598868671,0.488276550306589,0.8,0.7339449541284404,0.6,337,5,327,5,247,43
2026-08-08T09:20:40.736237+00:00,8f3c087,44ab694de883,yolo11,heridal,flood,water_glare,3,0.45,20260707,0.8301886792452831,0.6528189910979229,0.7308970099667774,0.6802717711434995,0.42349152808071217,0.8,0.6513761467889908,0.6,337,5,327,5,220,45
2026-08-08T09:23:11.423137+00:00,8f3c087,44ab694de883,yolo11,heridal,flood,turbidity_cast,1,0.45,20260707,0.8490566037735849,0.6676557863501483,0.7475083056478404,0.7530757485306706,0.46842611369139797,0.6,0.672782874617737,0.4,337,5,327,5,225,40
2026-08-08T09:25:36.080250+00:00,8f3c087,44ab694de883,yolo11,heridal,flood,turbidity_cast,2,0.45,20260707,0.8473684210526315,0.47774480712166173,0.6110056925996206,0.6203313783959825,0.36670269202017364,0.6,0.4801223241590214,0.2,337,5,327,5,161,29
2026-08-08T09:27:46.667374+00:00,8f3c087,44ab694de883,yolo11,heridal,flood,turbidity_cast,3,0.45,20260707,0.8208955223880597,0.1632047477744807,0.2722772277227723,0.39167936014153565,0.22248004268797866,0.2,0.1651376146788991,0.0,337,5,327,5,55,12
2026-08-08T09:31:26.896821+00:00,8f3c087,44ab694de883,yolo11,heridal,flood,inundation,1,0.45,20260707,0.8571428571428571,0.7477744807121661,0.7987321711568938,0.7894717186808656,0.5008856118062892,0.8,0.7492354740061162,0.6,337,5,327,5,252,42
2026-08-08T09:35:07.045477+00:00,8f3c087,44ab694de883,yolo11,heridal,flood,inundation,2,0.45,20260707,0.8770491803278688,0.6350148367952523,0.7366609294320137,0.7372806188534833,0.4415565748687617,0.6,0.636085626911315,0.6,337,5,327,5,214,30
2026-08-08T09:39:01.103950+00:00,8f3c087,44ab694de883,yolo11,heridal,flood,inundation,3,0.45,20260707,0.881578947368421,0.39762611275964393,0.5480572597137015,0.5050361949084309,0.30377476351302907,0.2,0.4036697247706422,0.2,337,5,327,5,134,18
2026-08-08T09:40:57.341358+00:00,8f3c087,44ab694de883,yolo11,heridal,wildfire,smoke_haze,1,0.45,20260707,0.8395522388059702,0.6676557863501483,0.7438016528925621,0.7473141853174219,0.46387722227340883,0.6,0.6697247706422018,0.6,337,5,327,5,225,43
2026-08-08T09:42:50.092651+00:00,8f3c087,44ab694de883,yolo11,heridal,wildfire,smoke_haze,2,0.45,20260707,0.8516746411483254,0.5281899109792285,0.652014652014652,0.6554888312484948,0.3977349124126615,0.6,0.5290519877675841,0.4,337,5,327,5,178,31
2026-08-08T09:44:46.508048+00:00,8f3c087,44ab694de883,yolo11,heridal,wildfire,smoke_haze,3,0.45,20260707,0.8154761904761905,0.4065281899109792,0.5425742574257426,0.5790033560551702,0.33407958649398156,0.0,0.41284403669724773,0.4,337,5,327,5,137,31
2026-08-08T09:46:51.252884+00:00,8f3c087,44ab694de883,yolo11,heridal,wildfire,fire_warm_tint,1,0.45,20260707,0.8167330677290837,0.6083086053412463,0.697278911564626,0.6869192811172999,0.41421094740414705,0.6,0.6116207951070336,0.4,337,5,327,5,205,46
2026-08-08T09:48:53.767880+00:00,8f3c087,44ab694de883,yolo11,heridal,wildfire,fire_warm_tint,2,0.45,20260707,0.7878787878787878,0.3857566765578635,0.5179282868525896,0.49653488037023163,0.2879255141970368,0.6,0.3853211009174312,0.2,337,5,327,5,130,35
2026-08-08T09:50:56.683683+00:00,8f3c087,44ab694de883,yolo11,heridal,wildfire,fire_warm_tint,3,0.45,20260707,0.765625,0.14540059347181009,0.24438902743142144,0.2553988789414752,0.1495298207358966,0.0,0.14678899082568808,0.2,337,5,327,5,49,15
2026-08-08T09:52:46.838709+00:00,8f3c087,44ab694de883,yolo11,heridal,storm,rain_streaks,1,0.45,20260707,0.8547717842323651,0.6112759643916914,0.7128027681660899,0.7353140314694245,0.4257253922797216,0.2,0.6146788990825688,0.8,337,5,327,5,206,35
2026-08-08T09:54:43.528881+00:00,8f3c087,44ab694de883,yolo11,heridal,storm,rain_streaks,2,0.45,20260707,0.732484076433121,0.34124629080118696,0.46558704453441296,0.47364160531063215,0.22483881625609806,0.2,0.3394495412844037,0.6,337,5,327,5,115,42
2026-08-08T09:57:06.198061+00:00,8f3c087,44ab694de883,yolo11,heridal,storm,rain_streaks,3,0.45,20260707,0.6129032258064516,0.05637982195845697,0.1032608695652174,0.14286093519086338,0.04407446663700415,0.0,0.05504587155963303,0.2,337,5,327,5,19,12
2026-08-08T09:59:37.644977+00:00,8f3c087,44ab694de883,yolo11,heridal,storm,motion_blur,1,0.45,20260707,0.6,0.10682492581602374,0.18136020151133497,0.1490132905151062,0.032960505204271226,0.0,0.10703363914373089,0.2,337,5,327,5,36,24
2026-08-08T10:02:02.805016+00:00,8f3c087,44ab694de883,yolo11,heridal,storm,motion_blur,2,0.45,20260707,0.2727272727272727,0.017804154302670624,0.03342618384401114,0.010994881805457525,0.0022084287330420924,0.0,0.01529051987767584,0.2,337,5,327,5,6,16
2026-08-08T10:04:26.575152+00:00,8f3c087,44ab694de883,yolo11,heridal,storm,motion_blur,3,0.45,20260707,0.047619047619047616,0.002967359050445104,0.00558659217877095,0.001814331609360448,0.00022331611562640926,0.0,0.0030581039755351682,0.0,337,5,327,5,1,20
2026-08-08T10:07:41.698754+00:00,8f3c087,44ab694de883,yolo11,heridal,storm,low_light,1,0.45,20260707,0.41025641025641024,0.04747774480712166,0.08510638297872342,0.06363337374590329,0.028825492379663527,0.0,0.04892966360856269,0.0,337,5,327,5,16,23
2026-08-08T10:11:03.870937+00:00,8f3c087,44ab694de883,yolo11,heridal,storm,low_light,2,0.45,20260707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,337,5,327,5,0,1
2026-08-08T10:14:27.172067+00:00,8f3c087,44ab694de883,yolo11,heridal,storm,low_light,3,0.45,20260707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,337,5,327,5,0,0
2026-08-08T10:16:56.837376+00:00,8f3c087,44ab694de883,yolo11,heridal,earthquake,dust_haze,1,0.45,20260707,0.8205128205128205,0.56973293768546,0.6725043782837129,0.6618654329074684,0.3957023940045538,0.6,0.5718654434250765,0.4,337,5,327,5,192,42
2026-08-08T10:19:28.013043+00:00,8f3c087,44ab694de883,yolo11,heridal,earthquake,dust_haze,2,0.45,20260707,0.8346456692913385,0.314540059347181,0.45689655172413796,0.4783950142875363,0.2776117959724701,0.2,0.3180428134556575,0.2,337,5,327,5,106,21
2026-08-08T10:22:06.411024+00:00,8f3c087,44ab694de883,yolo11,heridal,earthquake,dust_haze,3,0.45,20260707,0.8536585365853658,0.10385756676557864,0.18518518518518517,0.2634797212418965,0.15137565567770347,0.0,0.10397553516819572,0.2,337,5,327,5,35,6
2026-08-08T10:27:43.519823+00:00,8f3c087,44ab694de883,rtdetr,heridal,clean,clean,0,0.65,20260707,0.8811881188118812,0.7922848664688428,0.834375,0.834898012486401,0.5554878612204109,0.8,0.7951070336391437,0.6,337,5,327,5,267,36
2026-08-08T10:31:52.370220+00:00,8f3c087,44ab694de883,rtdetr,heridal,flood,water_glare,1,0.65,20260707,0.8779661016949153,0.7685459940652819,0.8196202531645571,0.8340783214919166,0.5438816282258093,0.8,0.7706422018348624,0.6,337,5,327,5,259,36
2026-08-08T10:36:15.107865+00:00,8f3c087,44ab694de883,rtdetr,heridal,flood,water_glare,2,0.65,20260707,0.8851351351351351,0.7774480712166172,0.8278041074249606,0.8322087478855795,0.5429449167841409,0.8,0.7798165137614679,0.6,337,5,327,5,262,34
2026-08-08T10:40:52.604701+00:00,8f3c087,44ab694de883,rtdetr,heridal,flood,water_glare,3,0.65,20260707,0.8679245283018868,0.6824925816023739,0.7641196013289038,0.7245300448482125,0.47105248473537104,0.8,0.6819571865443425,0.6,337,5,327,5,230,35
2026-08-08T10:44:25.882615+00:00,8f3c087,44ab694de883,rtdetr,heridal,flood,turbidity_cast,1,0.65,20260707,0.8920863309352518,0.7359050445103857,0.8065040650406504,0.8055569903533097,0.5309838013955115,0.8,0.7400611620795107,0.4,337,5,327,5,248,30
2026-08-08T10:48:01.425690+00:00,8f3c087,44ab694de883,rtdetr,heridal,flood,turbidity_cast,2,0.65,20260707,0.900523560209424,0.5103857566765578,0.6515151515151515,0.6986600151369126,0.43189556354950165,0.4,0.5168195718654435,0.2,337,5,327,5,172,19
2026-08-08T10:51:35.507865+00:00,8f3c087,44ab694de883,rtdetr,heridal,flood,turbidity_cast,3,0.65,20260707,0.7777777777777778,0.04154302670623145,0.07887323943661972,0.19646386058576543,0.10404342173323042,0.0,0.04281345565749235,0.0,337,5,327,5,14,4
2026-08-08T10:56:47.340689+00:00,8f3c087,44ab694de883,rtdetr,heridal,flood,inundation,1,0.65,20260707,0.8856209150326797,0.8041543026706232,0.8429237947122861,0.8456255117660285,0.5534158082857689,0.8,0.8073394495412844,0.6,337,5,327,5,271,35
2026-08-08T11:02:02.080903+00:00,8f3c087,44ab694de883,rtdetr,heridal,flood,inundation,2,0.65,20260707,0.9098039215686274,0.6884272997032641,0.7837837837837838,0.7867878817657906,0.5143224409572865,0.8,0.6880733944954128,0.6,337,5,327,5,232,23
2026-08-08T11:07:18.298988+00:00,8f3c087,44ab694de883,rtdetr,heridal,flood,inundation,3,0.65,20260707,0.8983050847457628,0.47181008902077154,0.6186770428015564,0.6074643105325019,0.3865285543717732,0.2,0.4801223241590214,0.2,337,5,327,5,159,18
